time, rPosX, rPosY, rPosZ, rRotX, rRotY, rRotZ, rRotW
2.157019853591919,-0.135340586,0.131581411,0.504299104,2.82E-05,6.88E-05,0.984807193,0.173651487
2.2322397232055664,-0.135340601,0.131581411,0.504299104,2.74E-05,6.86E-05,0.984807134,0.173651561
2.296259641647339,-0.135340616,0.131581411,0.504299104,2.71E-05,6.84E-05,0.984807193,0.173651323
2.3646299839019775,-0.135340616,0.131581411,0.504299104,2.73E-05,6.84E-05,0.984807253,0.173651174
2.4337799549102783,-0.135340616,0.131581411,0.504299104,2.72E-05,6.84E-05,0.984807193,0.173651263
2.499199867248535,-0.135340616,0.131581396,0.504299104,2.70E-05,6.82E-05,0.984807074,0.173651934
2.5654096603393555,-0.135340616,0.131581396,0.504299104,2.70E-05,6.83E-05,0.984807134,0.173651695
2.6391797065734863,-0.135340631,0.131581396,0.504299104,2.67E-05,6.82E-05,0.984807074,0.173651949
2.7213597297668457,-0.135340601,0.131581381,0.504299104,2.69E-05,6.81E-05,0.984807074,0.173651919
2.8154196739196777,-0.135340616,0.131581381,0.504299104,2.69E-05,6.77E-05,0.984807074,0.173651963
2.9010298252105713,-0.135340616,0.131581381,0.504299104,2.65E-05,6.79E-05,0.984807134,0.173651695
2.9738996028900146,-0.135340616,0.131581381,0.504299104,2.66E-05,6.78E-05,0.984807134,0.173651755
3.0425097942352295,-0.135340631,0.131581381,0.504299104,2.65E-05,6.76E-05,0.984807074,0.173651949
3.1296098232269287,-0.135340631,0.131581381,0.504299104,2.65E-05,6.75E-05,0.984807134,0.173651606
3.1999998092651367,-0.135340631,0.131581366,0.504299104,2.65E-05,6.75E-05,0.984807074,0.173652038
3.271779775619507,-0.135340631,0.131581366,0.504299104,2.63E-05,6.75E-05,0.984807074,0.173652127
3.3407397270202637,-0.135340631,0.131581351,0.504299104,2.63E-05,6.76E-05,0.984807074,0.173652023
3.4153096675872803,-0.135340646,0.131581351,0.504299104,2.60E-05,6.76E-05,0.984807074,0.173652142
3.4853596687316895,-0.135340661,0.131581351,0.504299104,2.60E-05,6.77E-05,0.984807014,0.173652291
3.567229747772217,-0.135340661,0.131581336,0.504299104,2.62E-05,6.74E-05,0.984807074,0.173652112
3.664139747619629,-0.135340661,0.131581321,0.504299104,2.61E-05,6.73E-05,0.984807014,0.173652351
3.7541897296905518,-0.135340661,0.131581336,0.504299104,2.61E-05,6.74E-05,0.984807014,0.173652291
3.8264997005462646,-0.135340676,0.131581381,0.504299104,2.57E-05,6.73E-05,0.984807074,0.173652023
3.8962197303771973,-0.135340676,0.131581366,0.504299104,2.57E-05,6.72E-05,0.984807134,0.1736518
3.9602396488189697,-0.135340676,0.131581366,0.504299104,2.58E-05,6.71E-05,0.984807074,0.173652038
4.039209842681885,-0.135340676,0.131581381,0.504299104,2.58E-05,6.73E-05,0.984807134,0.173651874
4.106299877166748,-0.135340676,0.131581366,0.504299104,2.58E-05,6.72E-05,0.984807134,0.173651859
4.172079801559448,-0.135340676,0.131581366,0.504299104,2.59E-05,6.73E-05,0.984807074,0.173652068
4.247509956359863,-0.135340676,0.131581366,0.504299104,2.57E-05,6.72E-05,0.984807014,0.173652276
4.320289611816406,-0.135340691,0.131581366,0.504299104,2.55E-05,6.71E-05,0.984807074,0.173651963
4.387369871139526,-0.135340691,0.131581351,0.504299104,2.55E-05,6.72E-05,0.984807074,0.173652053
4.460659742355347,-0.135340691,0.131581366,0.504299104,2.50E-05,6.71E-05,0.984807074,0.173651919
4.536239862442017,-0.135340691,0.131581366,0.504299104,2.49E-05,6.71E-05,0.984807074,0.173651919
4.613099575042725,-0.135340691,0.131581351,0.504299104,2.51E-05,6.69E-05,0.984807074,0.173651978
4.679959774017334,-0.135340691,0.131581351,0.504299104,2.49E-05,6.70E-05,0.984807134,0.173651889
4.750279903411865,-0.135340706,0.131581366,0.504299104,2.46E-05,6.69E-05,0.984807074,0.173652098
4.821549654006958,-0.135340706,0.131581366,0.504299104,2.46E-05,6.70E-05,0.984807074,0.173652083
4.885629892349243,-0.135340706,0.131581366,0.504299104,2.45E-05,6.68E-05,0.984807014,0.173652247
4.954579830169678,-0.135340706,0.131581366,0.504299104,2.46E-05,6.66E-05,0.984807134,0.173651755
