time, rPosX, rPosY, rPosZ, rRotX, rRotY, rRotZ, rRotW
1.630594643771830000E+18,-0.135340586,0.131581411,0.504299104,2.82E-05,6.88E-05,0.984807193,0.173651487
1.630594643847050000E+18,-0.135340601,0.131581411,0.504299104,2.74E-05,6.86E-05,0.984807134,0.173651561
1.630594643911070000E+18,-0.135340616,0.131581411,0.504299104,2.71E-05,6.84E-05,0.984807193,0.173651323
1.630594643979440000E+18,-0.135340616,0.131581411,0.504299104,2.73E-05,6.84E-05,0.984807253,0.173651174
1.630594644048590000E+18,-0.135340616,0.131581411,0.504299104,2.72E-05,6.84E-05,0.984807193,0.173651263
1.630594644114010000E+18,-0.135340616,0.131581396,0.504299104,2.70E-05,6.82E-05,0.984807074,0.173651934
1.630594644180220000E+18,-0.135340616,0.131581396,0.504299104,2.70E-05,6.83E-05,0.984807134,0.173651695
1.630594644253990000E+18,-0.135340631,0.131581396,0.504299104,2.67E-05,6.82E-05,0.984807074,0.173651949
1.630594644336170000E+18,-0.135340601,0.131581381,0.504299104,2.69E-05,6.81E-05,0.984807074,0.173651919
1.630594644430230000E+18,-0.135340616,0.131581381,0.504299104,2.69E-05,6.77E-05,0.984807074,0.173651963
1.630594644515840000E+18,-0.135340616,0.131581381,0.504299104,2.65E-05,6.79E-05,0.984807134,0.173651695
1.630594644588710000E+18,-0.135340616,0.131581381,0.504299104,2.66E-05,6.78E-05,0.984807134,0.173651755
1.630594644657320000E+18,-0.135340631,0.131581381,0.504299104,2.65E-05,6.76E-05,0.984807074,0.173651949
1.630594644744420000E+18,-0.135340631,0.131581381,0.504299104,2.65E-05,6.75E-05,0.984807134,0.173651606
1.630594644814810000E+18,-0.135340631,0.131581366,0.504299104,2.65E-05,6.75E-05,0.984807074,0.173652038
1.630594644886590000E+18,-0.135340631,0.131581366,0.504299104,2.63E-05,6.75E-05,0.984807074,0.173652127
1.630594644955550000E+18,-0.135340631,0.131581351,0.504299104,2.63E-05,6.76E-05,0.984807074,0.173652023
1.630594645030120000E+18,-0.135340646,0.131581351,0.504299104,2.60E-05,6.76E-05,0.984807074,0.173652142
